#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; probability density
0,0;1,0;0,03696374844476613
1,0;2,0;0,0025623957792532954
2,0;3,0;0,012720397335688367
3,0;4,0;0,03387561763576262
4,0;5,0;0,022066157809927003
5,0;6,0;0,02279675527938015
6,0;7,0;0,017167752116788018
7,0;8,0;0,019742008939386355
8,0;9,0;0,009732238177735905
9,0;10,0;0,007377173201630059
10,0;11,0;0,002085116306954925
11,0;12,0;0,010915152987979014
12,0;13,0;0,003776513986768921
13,0;14,0;9,97286257190402E-4
14,0;15,0;0,009676723452618502
15,0;16,0;0,00635510656890935
16,0;17,0;0,024755753458369934
17,0;18,0;0,02940064180908784
18,0;19,0;0,03704844966210875
19,0;20,0;0,07218948466443169
20,0;21,0;0,032092911029337666
21,0;22,0;0,02191570197018467
22,0;23,0;0,017751971529813948
23,0;24,0;0,012273019653335474
24,0;25,0;0,009320719190933316
25,0;26,0;0,016287991620275482
26,0;27,0;0,0016055795426704743
27,0;28,0;0,004260638623726379
28,0;29,0;0,001183480599013646
29,0;30,0;0,01750984618305249
30,0;31,0;0,0054924018188578705
31,0;32,0;2,3136656547715284E-4
32,0;33,0;0,009400451434358522
33,0;34,0;0,0199629538516031
34,0;35,0;0,005354906352973281
35,0;36,0;0,0033163576865363874
36,0;37,0;0,0027543975177316367
37,0;38,0;4,293574565886913E-4
38,0;39,0;5,969247422047228E-4
39,0;40,0;0,006327368261412869
40,0;41,0;0,00955366292925269
41,0;42,0;0,0011162132978284561
42,0;43,0;0,008618161978424141
43,0;44,0;0,014596359416618776
44,0;45,0;9,610787074240688E-4
45,0;46,0;0,009943338951654912
46,0;47,0;0,02902419586296248
47,0;48,0;0,053946783719939974
48,0;49,0;0,06957338585674593
49,0;50,0;0,05875259353688113
50,0;51,0;0,047260377044626864
51,0;52,0;0,04582007524855797
52,0;53,0;0,0655947211122054
53,0;54,0;0,014966232832052203
54,0;55,0;0,0
55,0;56,0;0,0
56,0;57,0;0,0
57,0;58,0;0,0
58,0;59,0;0,0
59,0;60,0;0,0
60,0;61,0;0,0
61,0;62,0;0,0
62,0;63,0;0,0
63,0;64,0;0,0
64,0;65,0;0,0
65,0;66,0;0,0
66,0;67,0;0,0
67,0;68,0;0,0
68,0;69,0;0,0
69,0;70,0;0,0
70,0;71,0;0,0
71,0;72,0;0,0
72,0;73,0;0,0
73,0;74,0;0,0
74,0;75,0;0,0
75,0;76,0;0,0
76,0;77,0;0,0
77,0;78,0;0,0
78,0;79,0;0,0
79,0;80,0;0,0
