#histogram type: continuous-time histogram
#queue_occupancy_over_time
#(lowerBound+upperBound)/2 ; probability
0,5;0,09821000345943602
1,5;0,04515293834864717
2,5;0,04301600869323779
3,5;0,04092137986145991
4,5;0,038723535358955216
5,5;0,03670317538034171
6,5;0,034883266905832336
7,5;0,03311356333336773
8,5;0,031279390825954566
9,5;0,02982744456838512
10,5;0,028258766383472664
11,5;0,026810133062577648
12,5;0,025520024087834874
13,5;0,024235218955931698
14,5;0,023223267484302992
15,5;0,021997318219288697
16,5;0,020989449187957632
17,5;0,0199313441095956
18,5;0,018908132613136366
19,5;0,01790361100042873
20,5;0,017094950788252614
21,5;0,01621363940832606
22,5;0,015470632752894857
23,5;0,01466207242713875
24,5;0,013927425530930735
25,5;0,013267585702910431
26,5;0,012515248157924583
27,5;0,011870155999950845
28,5;0,011297187547139906
29,5;0,010751339184296339
30,5;0,010156979465109735
31,5;0,009756842771871319
32,5;0,009348000016825115
33,5;0,008959471579024781
34,5;0,00835876755199547
35,5;0,007989473886895696
36,5;0,007602036710087861
37,5;0,0071004860094192965
38,5;0,0068072931900647286
39,5;0,006500487416327309
40,5;0,00616680759801346
41,5;0,005823396009679794
42,5;0,005503614122372485
43,5;0,005184607003674149
44,5;0,0049365910991167675
45,5;0,004694631856208161
46,5;0,004509486333105504
47,5;0,004209821659774287
48,5;0,004062048562856654
49,5;0,0038534085969534016
50,5;0,0036704762217388354
51,5;0,0034649395570910267
52,5;0,003319766028354493
53,5;0,003159711351059126
54,5;0,002984588803597213
55,5;0,002810538830136082
56,5;0,00269346875722867
57,5;0,0025683471863066757
58,5;0,0024070679178160026
59,5;0,0022900469353392128
60,5;0,002147437158049654
61,5;0,0020482334064731633
62,5;0,001927123532237308
63,5;0,0018289752990739215
64,5;0,0017521185941756466
65,5;0,0016594413486111057
66,5;0,0015787333437055975
67,5;0,0015029055356727023
68,5;0,0014063542987538431
69,5;0,0013479119186340682
70,5;0,0013068164059683149
71,5;0,0012201581514501988
72,5;0,0011624763022314208
73,5;0,00110174654533979
74,5;0,0010443814851234556
75,5;9,861077328575094E-4
76,5;9,507418594854808E-4
77,5;9,09722948654822E-4
78,5;8,538645642230487E-4
79,5;0,015693337201326065
