#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,09821000345943602
1,0;2,0;0,04515293834864717
2,0;3,0;0,04301600869323779
3,0;4,0;0,04092137986145991
4,0;5,0;0,038723535358955216
5,0;6,0;0,03670317538034171
6,0;7,0;0,034883266905832336
7,0;8,0;0,03311356333336773
8,0;9,0;0,031279390825954566
9,0;10,0;0,02982744456838512
10,0;11,0;0,028258766383472664
11,0;12,0;0,026810133062577648
12,0;13,0;0,025520024087834874
13,0;14,0;0,024235218955931698
14,0;15,0;0,023223267484302992
15,0;16,0;0,021997318219288697
16,0;17,0;0,020989449187957632
17,0;18,0;0,0199313441095956
18,0;19,0;0,018908132613136366
19,0;20,0;0,01790361100042873
20,0;21,0;0,017094950788252614
21,0;22,0;0,01621363940832606
22,0;23,0;0,015470632752894857
23,0;24,0;0,01466207242713875
24,0;25,0;0,013927425530930735
25,0;26,0;0,013267585702910431
26,0;27,0;0,012515248157924583
27,0;28,0;0,011870155999950845
28,0;29,0;0,011297187547139906
29,0;30,0;0,010751339184296339
30,0;31,0;0,010156979465109735
31,0;32,0;0,009756842771871319
32,0;33,0;0,009348000016825115
33,0;34,0;0,008959471579024781
34,0;35,0;0,00835876755199547
35,0;36,0;0,007989473886895696
36,0;37,0;0,007602036710087861
37,0;38,0;0,0071004860094192965
38,0;39,0;0,0068072931900647286
39,0;40,0;0,006500487416327309
40,0;41,0;0,00616680759801346
41,0;42,0;0,005823396009679794
42,0;43,0;0,005503614122372485
43,0;44,0;0,005184607003674149
44,0;45,0;0,0049365910991167675
45,0;46,0;0,004694631856208161
46,0;47,0;0,004509486333105504
47,0;48,0;0,004209821659774287
48,0;49,0;0,004062048562856654
49,0;50,0;0,0038534085969534016
50,0;51,0;0,0036704762217388354
51,0;52,0;0,0034649395570910267
52,0;53,0;0,003319766028354493
53,0;54,0;0,003159711351059126
54,0;55,0;0,002984588803597213
55,0;56,0;0,002810538830136082
56,0;57,0;0,00269346875722867
57,0;58,0;0,0025683471863066757
58,0;59,0;0,0024070679178160026
59,0;60,0;0,0022900469353392128
60,0;61,0;0,002147437158049654
61,0;62,0;0,0020482334064731633
62,0;63,0;0,001927123532237308
63,0;64,0;0,0018289752990739215
64,0;65,0;0,0017521185941756466
65,0;66,0;0,0016594413486111057
66,0;67,0;0,0015787333437055975
67,0;68,0;0,0015029055356727023
68,0;69,0;0,0014063542987538431
69,0;70,0;0,0013479119186340682
70,0;71,0;0,0013068164059683149
71,0;72,0;0,0012201581514501988
72,0;73,0;0,0011624763022314208
73,0;74,0;0,00110174654533979
74,0;75,0;0,0010443814851234556
75,0;76,0;9,861077328575094E-4
76,0;77,0;9,507418594854808E-4
77,0;78,0;9,09722948654822E-4
78,0;79,0;8,538645642230487E-4
79,0;80,0;0,015693337201326065
