#histogram type: discrete-time histogram
#service_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,6505871978360951
1,5;0,22759008392314314
2,5;0,07935114316324461
3,5;0,027644890934344524
4,5;0,009665727690333411
5,5;0,003369451346645219
6,5;0,0011605492217567658
7,5;4,074536941602558E-4
8,5;1,4625591535054894E-4
9,5;5,1349108788726467E-5
10,5;1,632486117560668E-5
11,5;6,8267601279809754E-6
12,5;1,632486117560668E-6
13,5;6,678352299111823E-7
14,5;2,968156577383033E-7
15,5;1,4840782886915165E-7
16,5;0,0
17,5;0,0
18,5;0,0
19,5;0,0
20,5;0,0
21,5;0,0
22,5;0,0
23,5;0,0
24,5;0,0
25,5;0,0
26,5;0,0
27,5;0,0
28,5;0,0
29,5;0,0
30,5;0,0
31,5;0,0
32,5;0,0
33,5;0,0
34,5;0,0
35,5;0,0
36,5;0,0
37,5;0,0
38,5;0,0
39,5;0,0
40,5;0,0
41,5;0,0
42,5;0,0
43,5;0,0
44,5;0,0
45,5;0,0
46,5;0,0
47,5;0,0
48,5;0,0
49,5;0,0
50,5;0,0
51,5;0,0
52,5;0,0
53,5;0,0
54,5;0,0
55,5;0,0
56,5;0,0
57,5;0,0
58,5;0,0
59,5;0,0
60,5;0,0
61,5;0,0
62,5;0,0
63,5;0,0
64,5;0,0
65,5;0,0
66,5;0,0
67,5;0,0
68,5;0,0
69,5;0,0
70,5;0,0
71,5;0,0
72,5;0,0
73,5;0,0
74,5;0,0
75,5;0,0
76,5;0,0
77,5;0,0
78,5;0,0
79,5;0,0
