#histogram type: discrete-time histogram
#waiting_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,09920143231363798
1,5;0,04630227795628766
2,5;0,04403334486462163
3,5;0,04169287919944068
4,5;0,039428917770041774
5,5;0,03734927886409835
6,5;0,03556489733369011
7,5;0,03356005597349673
8,5;0,03179348338255279
9,5;0,030067277721061252
10,5;0,028640930077799834
11,5;0,02718200691610164
12,5;0,025791648171340994
13,5;0,024595184254997893
14,5;0,02337890789350076
15,5;0,022111801850615946
16,5;0,020901758617931317
17,5;0,019902602910069754
18,5;0,01887606595778183
19,5;0,017964767684610805
20,5;0,01714229149701797
21,5;0,016239675081835787
22,5;0,015397534856917786
23,5;0,014515472926033984
24,5;0,013815136381600457
25,5;0,013085637698794141
26,5;0,012418173488455132
27,5;0,011792560285857224
28,5;0,011222525815170812
29,5;0,010621622516079617
30,5;0,010082976301199031
31,5;0,009606141947042447
32,5;0,009097696725336734
33,5;0,008676812122663819
34,5;0,008236931317895654
35,5;0,00776707213169592
36,5;0,007374904443909187
37,5;0,007048258812568184
38,5;0,006582109822090179
39,5;0,006255018967262569
40,5;0,005916649117440903
41,5;0,005665097847507691
42,5;0,005327099017258198
43,5;0,0050446047150057675
44,5;0,00485783346237394
45,5;0,004672026860629763
46,5;0,004430938342631826
47,5;0,004200386780483599
48,5;0,003955068639362891
49,5;0,003760951199202041
50,5;0,0035033152082851937
51,5;0,0033532006893840466
52,5;0,0031632386684315324
53,5;0,0029687502086985095
54,5;0,002830508316106895
55,5;0,002659245681591894
56,5;0,0024879830470768928
57,5;0,0023571615459287354
58,5;0,002235838145828204
59,5;0,0021465708367634094
60,5;0,0020643528995698992
61,5;0,0019244785208607238
62,5;0,0018279392281813408
63,5;0,0017265024771492756
64,5;0,0016404259364051676
65,5;0,00155256850171463
66,5;0,0014893467666163712
67,5;0,001418185212673613
68,5;0,0013352252363357574
69,5;0,0012781624261355685
70,5;0,001234159504875865
71,5;0,0011621817078743264
72,5;0,0011084580738236936
73,5;0,0010331411006725992
74,5;9,442448111799773E-4
75,5;8,940087611077694E-4
76,5;8,500800437625006E-4
77,5;7,944271079365688E-4
78,5;7,739468275526258E-4
79,5;0,01409362367247342
