#histogram type: discrete-time histogram
#waiting_time_per_customer
#lowerBound ; upperBound ; probability density
0,0;1,0;0,09920143231363798
1,0;2,0;0,04630227795628766
2,0;3,0;0,04403334486462163
3,0;4,0;0,04169287919944068
4,0;5,0;0,039428917770041774
5,0;6,0;0,03734927886409835
6,0;7,0;0,03556489733369011
7,0;8,0;0,03356005597349673
8,0;9,0;0,03179348338255279
9,0;10,0;0,030067277721061252
10,0;11,0;0,028640930077799834
11,0;12,0;0,02718200691610164
12,0;13,0;0,025791648171340994
13,0;14,0;0,024595184254997893
14,0;15,0;0,02337890789350076
15,0;16,0;0,022111801850615946
16,0;17,0;0,020901758617931317
17,0;18,0;0,019902602910069754
18,0;19,0;0,01887606595778183
19,0;20,0;0,017964767684610805
20,0;21,0;0,01714229149701797
21,0;22,0;0,016239675081835787
22,0;23,0;0,015397534856917786
23,0;24,0;0,014515472926033984
24,0;25,0;0,013815136381600457
25,0;26,0;0,013085637698794141
26,0;27,0;0,012418173488455132
27,0;28,0;0,011792560285857224
28,0;29,0;0,011222525815170812
29,0;30,0;0,010621622516079617
30,0;31,0;0,010082976301199031
31,0;32,0;0,009606141947042447
32,0;33,0;0,009097696725336734
33,0;34,0;0,008676812122663819
34,0;35,0;0,008236931317895654
35,0;36,0;0,00776707213169592
36,0;37,0;0,007374904443909187
37,0;38,0;0,007048258812568184
38,0;39,0;0,006582109822090179
39,0;40,0;0,006255018967262569
40,0;41,0;0,005916649117440903
41,0;42,0;0,005665097847507691
42,0;43,0;0,005327099017258198
43,0;44,0;0,0050446047150057675
44,0;45,0;0,00485783346237394
45,0;46,0;0,004672026860629763
46,0;47,0;0,004430938342631826
47,0;48,0;0,004200386780483599
48,0;49,0;0,003955068639362891
49,0;50,0;0,003760951199202041
50,0;51,0;0,0035033152082851937
51,0;52,0;0,0033532006893840466
52,0;53,0;0,0031632386684315324
53,0;54,0;0,0029687502086985095
54,0;55,0;0,002830508316106895
55,0;56,0;0,002659245681591894
56,0;57,0;0,0024879830470768928
57,0;58,0;0,0023571615459287354
58,0;59,0;0,002235838145828204
59,0;60,0;0,0021465708367634094
60,0;61,0;0,0020643528995698992
61,0;62,0;0,0019244785208607238
62,0;63,0;0,0018279392281813408
63,0;64,0;0,0017265024771492756
64,0;65,0;0,0016404259364051676
65,0;66,0;0,00155256850171463
66,0;67,0;0,0014893467666163712
67,0;68,0;0,001418185212673613
68,0;69,0;0,0013352252363357574
69,0;70,0;0,0012781624261355685
70,0;71,0;0,001234159504875865
71,0;72,0;0,0011621817078743264
72,0;73,0;0,0011084580738236936
73,0;74,0;0,0010331411006725992
74,0;75,0;9,442448111799773E-4
75,0;76,0;8,940087611077694E-4
76,0;77,0;8,500800437625006E-4
77,0;78,0;7,944271079365688E-4
78,0;79,0;7,739468275526258E-4
79,0;80,0;0,01409362367247342
