#histogram type: discrete-time histogram
#waiting_time_per_customer
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,0959395993052343
1,0;2,0;0,04397508875519165
2,0;3,0;0,04195097893457623
3,0;4,0;0,03991851320833476
4,0;5,0;0,037835540674753615
5,0;6,0;0,035924142736694024
6,0;7,0;0,03419997898025518
7,0;8,0;0,03266775347082656
8,0;9,0;0,031106870299880456
9,0;10,0;0,029663898241657494
10,0;11,0;0,028261220217231264
11,0;12,0;0,026811625330104692
12,0;13,0;0,02561116022182887
13,0;14,0;0,024296312049872006
14,0;15,0;0,023116086801890392
15,0;16,0;0,021930167158963614
16,0;17,0;0,020882893653832037
17,0;18,0;0,019819898667004038
18,0;19,0;0,018922660089557976
19,0;20,0;0,018010380881985026
20,0;21,0;0,017169652984809953
21,0;22,0;0,01634792703598449
22,0;23,0;0,015489249415612718
23,0;24,0;0,014733504173434435
24,0;25,0;0,01396736047092151
25,0;26,0;0,013326307770410413
26,0;27,0;0,012583684394844889
27,0;28,0;0,012003970231188722
28,0;29,0;0,011418747359379084
29,0;30,0;0,010809013831066366
30,0;31,0;0,010363798800190985
31,0;32,0;0,009889492838617505
32,0;33,0;0,009348772901216235
33,0;34,0;0,008860107161085396
34,0;35,0;0,008447511109950226
35,0;36,0;0,008031882174550784
36,0;37,0;0,0075818392870914625
37,0;38,0;0,007208856418183491
38,0;39,0;0,006840206241081618
39,0;40,0;0,006424267827696027
40,0;41,0;0,006130511323242453
41,0;42,0;0,0057780777926148405
42,0;43,0;0,005512298098109225
43,0;44,0;0,005234510657740991
44,0;45,0;0,004996831564377796
45,0;46,0;0,004717868107662192
46,0;47,0;0,004460691901171547
47,0;48,0;0,0042597787925629715
48,0;49,0;0,004050200300342196
49,0;50,0;0,0038806063639319995
50,0;51,0;0,003703275477868053
51,0;52,0;0,003525201844637347
52,0;53,0;0,0033156852480138014
53,0;54,0;0,0032010546019438438
54,0;55,0;0,0030065167398499576
55,0;56,0;0,002857719724109041
56,0;57,0;0,002697657709672264
57,0;58,0;0,0025725667076704367
58,0;59,0;0,002452798727030389
59,0;60,0;0,0023443576406834313
60,0;61,0;0,0022400635593508834
61,0;62,0;0,0021563807118959253
62,0;63,0;0,002031413501088558
63,0;64,0;0,0019726745793172892
64,0;65,0;0,0018889917318623307
65,0;66,0;0,0017791270467790831
66,0;67,0;0,0017026859842000346
67,0;68,0;0,001631877420968916
68,0;69,0;0,0015481945735139578
69,0;70,0;0,0014734246920601194
70,0;71,0;0,0013880706634799512
71,0;72,0;0,0013345928674732322
72,0;73,0;0,0012737494953961436
73,0;74,0;0,0012252852427650546
74,0;75,0;0,0011701981612303558
75,0;76,0;0,0011142445413344368
76,0;77,0;0,0010645423767587478
77,0;78,0;0,0010243102385592488
78,0;79,0;9,976951317503494E-4
79,0;80,0;0,020593346049990104
